time, size
3.33e-07, 512
5e-07, 1024
2.916e-06, 2048
7.25e-06, 4096
1.2625e-05, 8192
1.3541e-05, 16384
2.4875e-05, 32768
5.0542e-05, 65536
9.6625e-05, 131072
0.000189083, 262144
0.000434166, 524288
0.00101217, 1048576
0.00212262, 2097152
0.00523075, 4194304
1.25e-07, 512
2.09e-07, 1024
1.291e-06, 2048
3.25e-06, 4096
6.708e-06, 8192
4.9917e-05, 16384
2.3458e-05, 32768
4.7792e-05, 65536
0.000102417, 131072
0.000194667, 262144
0.0004335, 524288
0.000972583, 1048576
0.0021205, 2097152
0.00408717, 4194304
1.25e-07, 512
2.09e-07, 1024
1.709e-06, 2048
3.917e-06, 4096
6.791e-06, 8192
1.2875e-05, 16384
2.3959e-05, 32768
4.4584e-05, 65536
9.0125e-05, 131072
0.00019175, 262144
0.000507333, 524288
0.000961333, 1048576
0.00207325, 2097152
0.00408371, 4194304
1.25e-07, 512
1.67e-07, 1024
1.333e-06, 2048
3.333e-06, 4096
7.75e-06, 8192
1.2e-05, 16384
2.6958e-05, 32768
4.6541e-05, 65536
0.00010525, 131072
0.000205, 262144
0.000426958, 524288
0.00101029, 1048576
0.00214629, 2097152
0.00395975, 4194304
1.25e-07, 512
2.09e-07, 1024
1.583e-06, 2048
3.458e-06, 4096
6.708e-06, 8192
1.4833e-05, 16384
2.6875e-05, 32768
4.6333e-05, 65536
9.5375e-05, 131072
0.000189125, 262144
0.000537708, 524288
0.00110146, 1048576
0.00216725, 2097152
0.00438675, 4194304
8.3e-08, 512
2.09e-07, 1024
1.333e-06, 2048
5.25e-06, 4096
6.625e-06, 8192
1.2125e-05, 16384
2.6333e-05, 32768
4.8916e-05, 65536
0.000132625, 131072
0.000195334, 262144
0.000503584, 524288
0.00117808, 1048576
0.00210804, 2097152
0.00412183, 4194304
1.25e-07, 512
2.09e-07, 1024
1.917e-06, 2048
3.333e-06, 4096
9.417e-06, 8192
1.275e-05, 16384
2.2958e-05, 32768
4.7333e-05, 65536
9.2667e-05, 131072
0.0001955, 262144
0.000428541, 524288
0.00109146, 1048576
0.00220879, 2097152
0.00424058, 4194304
8.3e-08, 512
2.08e-07, 1024
1.417e-06, 2048
3.458e-06, 4096
6.791e-06, 8192
1.3333e-05, 16384
2.3167e-05, 32768
4.5958e-05, 65536
0.000106584, 131072
0.000219375, 262144
0.000456583, 524288
0.00100896, 1048576
0.00205196, 2097152
0.00420979, 4194304
1.25e-07, 512
1.66e-07, 1024
1.625e-06, 2048
3.417e-06, 4096
6.5e-06, 8192
1.1875e-05, 16384
2.3625e-05, 32768
4.6e-05, 65536
9.7583e-05, 131072
0.000186708, 262144
0.000475583, 524288
0.00122183, 1048576
0.00238767, 2097152
0.00440871, 4194304
8.4e-08, 512
2.09e-07, 1024
1.375e-06, 2048
4.25e-06, 4096
7.334e-06, 8192
1.2333e-05, 16384
2.775e-05, 32768
4.8292e-05, 65536
0.000107458, 131072
0.000203625, 262144
0.000396, 524288
0.000951458, 1048576
0.00197592, 2097152
0.00424908, 4194304
1.25e-07, 512
1.67e-07, 1024
1.833e-06, 2048
3.25e-06, 4096
7.125e-06, 8192
1.2792e-05, 16384
2.7292e-05, 32768
4.9625e-05, 65536
0.000108917, 131072
0.000184333, 262144
0.000413458, 524288
0.00100154, 1048576
0.00204767, 2097152
0.00416833, 4194304
1.25e-07, 512
2.09e-07, 1024
1.333e-06, 2048
4.458e-06, 4096
7.5e-06, 8192
1.3458e-05, 16384
2.7167e-05, 32768
4.7833e-05, 65536
0.000116, 131072
0.00030425, 262144
0.000474, 524288
0.0010305, 1048576
0.00212471, 2097152
0.00422829, 4194304
1.25e-07, 512
2.09e-07, 1024
1.25e-06, 2048
3.334e-06, 4096
7.542e-06, 8192
1.2833e-05, 16384
2.4875e-05, 32768
4.8917e-05, 65536
9.35e-05, 131072
0.000205083, 262144
0.000437583, 524288
0.000961333, 1048576
0.00216333, 2097152
0.00424029, 4194304
1.25e-07, 512
2.09e-07, 1024
1.75e-06, 2048
3.375e-06, 4096
7.083e-06, 8192
1.2083e-05, 16384
2.3875e-05, 32768
4.5083e-05, 65536
0.000119959, 131072
0.000187292, 262144
0.000433209, 524288
0.00142246, 1048576
0.00224317, 2097152
0.00415254, 4194304
1.25e-07, 512
2.08e-07, 1024
1.292e-06, 2048
3.208e-06, 4096
6.458e-06, 8192
1.1875e-05, 16384
2.4792e-05, 32768
5.475e-05, 65536
9.5291e-05, 131072
0.000202833, 262144
0.000484084, 524288
0.00102396, 1048576
0.00202987, 2097152
0.00430308, 4194304
1.25e-07, 512
2.08e-07, 1024
1.375e-06, 2048
3.291e-06, 4096
7.292e-06, 8192
1.7875e-05, 16384
2.2875e-05, 32768
4.8875e-05, 65536
9.3791e-05, 131072
0.000185667, 262144
0.000413584, 524288
0.000981917, 1048576
0.00211925, 2097152
0.00433204, 4194304
8.3e-08, 512
2.09e-07, 1024
1.584e-06, 2048
1.9459e-05, 4096
7.291e-06, 8192
1.2416e-05, 16384
2.3666e-05, 32768
4.5375e-05, 65536
9.6042e-05, 131072
0.0002545, 262144
0.000429917, 524288
0.000983791, 1048576
0.00230183, 2097152
0.0040935, 4194304
8.4e-08, 512
1.67e-07, 1024
1.291e-06, 2048
3.292e-06, 4096
7.167e-06, 8192
1.2792e-05, 16384
2.4042e-05, 32768
4.5166e-05, 65536
9.3792e-05, 131072
0.000191791, 262144
0.000450334, 524288
0.000992583, 1048576
0.00223321, 2097152
0.00401017, 4194304
1.25e-07, 512
2.08e-07, 1024
1.333e-06, 2048
3.334e-06, 4096
6.958e-06, 8192
1.2042e-05, 16384
2.4792e-05, 32768
4.7084e-05, 65536
9.35e-05, 131072
0.000193917, 262144
0.00052175, 524288
0.00122283, 1048576
0.00217213, 2097152
0.00418563, 4194304
8.4e-08, 512
1.67e-07, 1024
1.666e-06, 2048
3.375e-06, 4096
6.666e-06, 8192
1.2625e-05, 16384
2.4542e-05, 32768
4.7625e-05, 65536
9.1917e-05, 131072
0.000207334, 262144
0.000433291, 524288
0.000956959, 1048576
0.0019915, 2097152
0.00433092, 4194304
