Threads,Run,Bandwidth_GBps,MeanLatency_ns
1,1,56.0153,1.06408
1,2,58.5095,1.01872
1,3,59.1523,1.00765
1,4,58.7104,1.01523
1,5,56.6345,1.05244
1,6,58.6149,1.01689
1,7,58.3541,1.02143
1,8,58.2717,1.02288
1,9,58.9947,1.01034
1,10,59.0476,1.00943
1,11,59.1687,1.00737
1,12,59.0592,1.00924
1,13,58.0953,1.02598
1,14,58.8836,1.01225
1,15,58.7999,1.01369
1,16,58.5757,1.01757
1,17,59.0848,1.0088
1,18,59.0002,1.01024
1,19,58.8769,1.01236
1,20,58.57,1.01766
2,1,61.923,0.96256
2,2,60.364,0.98742
2,3,62.0524,0.960554
2,4,62.0691,0.960295
2,5,62.1227,0.959466
2,6,62.199,0.958289
2,7,62.1581,0.95892
2,8,61.6814,0.96633
2,9,61.6643,0.966599
2,10,62.26,0.95735
2,11,62.1436,0.959143
2,12,62.1652,0.95881
2,13,61.9396,0.962302
2,14,62.1707,0.958726
2,15,62.0961,0.959878
2,16,62.2203,0.957961
2,17,62.1391,0.959213
2,18,62.24,0.957658
2,19,62.1523,0.959009
2,20,61.9912,0.961502
4,1,61.9707,0.96182
4,2,62.1462,0.959103
4,3,61.9598,0.961989
4,4,61.9154,0.96268
4,5,62.003,0.961319
4,6,61.7484,0.965282
4,7,61.939,0.962312
4,8,62.0954,0.959888
4,9,62.0235,0.961001
4,10,62.1517,0.959019
4,11,62.1083,0.959689
4,12,61.8372,0.963897
4,13,61.9361,0.962357
4,14,61.785,0.964711
4,15,61.677,0.9664
4,16,61.8509,0.963683
4,17,62.1189,0.959526
4,18,61.3036,0.972286
4,19,61.7109,0.965868
4,20,62.0396,0.960752
6,1,61.5644,0.968168
6,2,61.6152,0.967368
6,3,61.4524,0.969931
6,4,61.6181,0.967324
6,5,61.4078,0.970637
6,6,61.6504,0.966817
6,7,61.5754,0.967994
6,8,61.7128,0.965839
6,9,61.5985,0.967632
6,10,61.4981,0.969211
6,11,61.6092,0.967463
6,12,61.4468,0.970021
6,13,61.6618,0.966638
6,14,61.6307,0.967125
6,15,61.4811,0.969479
6,16,61.7322,0.965536
6,17,61.4534,0.969917
6,18,61.4427,0.970085
6,19,61.6558,0.966733
6,20,61.2479,0.97317
8,1,60.9477,0.977963
8,2,61.0917,0.975658
8,3,60.4997,0.985205
8,4,61.0507,0.976314
8,5,61.0178,0.976841
8,6,61.1178,0.975241
8,7,61.1505,0.97472
8,8,61.0631,0.976115
8,9,61.0703,0.976001
8,10,60.9982,0.977154
8,11,61.1122,0.975331
8,12,60.5761,0.983963
8,13,61.0814,0.975822
8,14,61.1347,0.974973
8,15,60.8208,0.980005
8,16,61.1487,0.97475
8,17,60.7447,0.981232
8,18,61.1119,0.975336
8,19,61.1163,0.975266
8,20,61.1739,0.974347
